id_produtos,nome,descricao,categoria,subcategoria,marca,cor,largura,altura,profundidade,peso,preco,tem_garantia,tipo_garantia,meses_garantia,data_cadastro,status
1,Smartphone Galaxy S21,Smartphone avançado com excelente desempenho.,Eletrônicos,Celulares,Samsung,Preto,7.9,16.2,0.8,0.19,1899.99,S,-,-,2023-07-30 10:15:00,ativo
2,Notebook Inspiron 5000,Notebook com processador Intel Core i5 e tela de 15.6 polegadas.,Informática,Notebooks,Dell,Cinza,35.8,24.7,2.1,1.95,2799.00,S,3 meses,-,2023-07-30 11:30:00,ativo
3,Fones de Ouvido Bluetooth,Fones de ouvido sem fio com cancelamento de ruído.,Eletrônicos,Áudio,Sony,Preto,5.5,5.5,3.2,0.05,149.90,S,-,-,2023-07-30 14:45:00,ativo
4,Camiseta Polo Masculina,Camiseta polo de algodão pima com design clássico.,Moda,Roupas,Tommy Hilfiger,Azul,21.0,26.5,1.0,0.25,79.99,S,-,-,2023-07-30 16:20:00,ativo
5,Smart TV LED 55,Smart TV com resolução 4K e tecnologia HDR.,Eletrônicos,TVs,Sony,Prata,122.6,78.4,24.3,15.8,2599.00,S,1 ano,12,2023-07-30 18:05:00,ativo
6,Mouse Sem Fio,Mouse ergonômico sem fio com sensor óptico.,Informática,Acessórios,Logitech,Preto,6.3,10.2,3.8,0.12,59.90,S,-,-,2023-07-30 20:30:00,ativo
7,Monitor LED 24,Monitor LED com resolução Full HD e tela de 24 polegadas.,Informática,Monitores,HP,Preto,55.0,33.0,5.5,3.9,799.00,S,2 anos,24,2023-07-30 22:15:00,ativo
8,Teclado Mecânico RGB,Teclado mecânico com iluminação RGB personalizável.,Informática,Acessórios,Razer,Preto,44.8,13.0,3.5,1.15,349.00,S,-,-,2023-07-31 09:40:00,ativo
9,Impressora Multifuncional,Impressora a jato de tinta com funções de impressão cópia e digitalização.,Informática,Impressoras,Epson,Branco,37.0,17.5,32.0,4.5,379.90,S,1 ano,12,2023-07-31 12:05:00,ativo
10,Fritadeira Elétrica Airfryer,Fritadeira elétrica sem óleo com capacidade de 3 litros.,Eletrodomésticos,Eletroportáteis,Philips Walita,Preto,28.7,34.8,32.6,5.7,319.90,S,2 anos,24,2023-07-31 14:30:00,ativo
11,Aspirador de Pó Vertical,Aspirador de pó sem fio com bateria recarregável.,Eletrodomésticos,Eletroportáteis,Dyson,Vermelho,25.0,124.5,22.0,3.0,899.00,S,1 ano,12,2023-07-31 16:45:00,ativo
12,Chuveiro Elétrico Advanced,Chuveiro elétrico com controle de temperatura.,Casa e Decoração,Banheiro,Lorenzetti,Branco,22.5,8.8,11.8,0.75,139.90,S,6 meses,-,2023-07-31 19:20:00,ativo
13,Panela de Pressão 6L,Panela de pressão de alumínio com capacidade para 6 litros.,Casa e Decoração,Cozinha,Tramontina,Prata,22.0,24.5,40.0,3.5,99.90,S,-,-,2023-07-31 21:35:00,ativo
14,Conjunto de Talheres 24 Peças,Conjunto de talheres de aço inoxidável com 24 peças.,Casa e Decoração,Mesa e Bar,Cambridge,Prata,5.5,25.0,32.0,1.1,169.90,S,-,-,2023-07-31 23:50:00,ativo
15,Bicicleta Mountain Bike,Bicicleta MTB com quadro de alumínio e suspensão dianteira.,Esportes e Lazer,Ciclismo,Caloi,Vermelho,73.0,105.0,17.5,12.8,1599.00,S,-,-,2023-08-01 09:10:00,ativo
16,Tênis Esportivo Feminino,Tênis esportivo para corrida e atividades físicas.,Esportes e Lazer,Fitness e Musculação,Asics,Rosa,10.8,8.0,28.5,0.3,199.90,S,-,-,2023-08-01 11:25:00,ativo
17,Bola de Futebol de Campo,Bola oficial de futebol de campo tamanho 5.,Esportes e Lazer,Futebol,Nike,Branco,22.0,22.0,22.0,0.4,59.90,S,-,-,2023-08-01 13:40:00,ativo
18,Raquete de Tênis Profissional,Raquete de tênis de alto desempenho para jogadores profissionais.,Esportes e Lazer,Tênis,Wilson,Preto,29.0,69.0,2.5,0.28,359.00,S,-,-,2023-08-01 15:55:00,ativo
19,Cadeira de Praia Dobrável,Cadeira de praia portátil e dobrável com apoio para copos.,Esportes e Lazer,Praia e Camping,Mor,Azul,58.0,67.0,62.0,2.0,89.90,S,-,-,2023-08-01 18:20:00,ativo
20,Bola de Vôlei Oficial,Bola oficial de vôlei tamanho e peso regulamentados.,Esportes e Lazer,Vôlei,Mikasa,Amarelo,21.0,21.0,21.0,0.27,129.90,S,-,-,2023-08-01 20:35:00,ativo
21,Escova de Cabelo Alisadora,Escova de cabelo elétrica para alisamento rápido.,Beleza e Saúde,Cabelos,Kemei,Rosa,5.5,27.0,3.0,0.38,49.90,S,-,-,2023-08-01 22:50:00,ativo
22,Secador de Cabelo Profissional,Secador de cabelo com motor potente e diferentes configurações de calor.,Beleza e Saúde,Cabelos,Taiff,Branco,10.0,25.5,14.0,1.2,179.00,S,1 ano,12,2023-08-02 09:15:00,ativo
23,Prancha Alisadora de Cabelo,Prancha alisadora com placas de cerâmica para cabelos lisos e brilhantes.,Beleza e Saúde,Cabelos,Philips,Rosa,3.5,28.0,10.0,0.42,119.90,S,2 anos,24,2023-08-02 11:30:00,ativo
24,Kit Maquiagem Profissional,Kit de maquiagem com variedade de produtos para uso profissional.,Beleza e Saúde,Makeup,Mac,Multi,35.0,25.0,14.0,3.8,399.00,S,-,-,2023-08-02 13:45:00,ativo
25,Perfume Feminino Eau de Parfum,Perfume feminino com fragrância duradoura.,Beleza e Saúde,Perfumaria,Dior,Amarelo,6.5,12.5,2.5,0.29,299.90,S,-,-,2023-08-02 16:00:00,ativo
26,Barbeador Elétrico,Barbeador elétrico com lâminas de precisão.,Beleza e Saúde,Barbearia,Philips,Azul,4.5,15.0,7.5,0.16,89.90,S,-,-,2023-08-02 18:25:00,ativo
27,Máscara Facial Hidratante,Máscara facial de hidratação com colágeno e vitaminas.,Beleza e Saúde,Cuidados com a Pele,Olay,Azul,11.0,15.0,2.0,0.08,19.90,S,-,-,2023-08-02 20:40:00,ativo
28,Termômetro Digital Infravermelho,Termômetro digital infravermelho para medição de temperatura.,Beleza e Saúde,Saúde,Omron,Branco,5.0,15.0,3.0,0.1,59.90,S,3 meses,-,2023-08-02 22:55:00,ativo
29,Purificador de Ar HEPA,Purificador de ar com filtro HEPA para remoção de impurezas.,Casa e Decoração,Eletroportáteis,Electrolux,Branco,26.5,37.8,22.5,2.8,299.00,S,1 ano,12,2023-08-03 09:20:00,ativo
30,Aspirador de Pó Robô,Aspirador de pó robô com função de mapeamento e controle por aplicativo.,Casa e Decoração,Eletroportáteis,iRobot,Preto,34.2,9.3,33.6,3.4,1299.00,S,2 anos,24,2023-08-03 11:35:00,ativo
31,Abajur de Mesa,Abajur de mesa com base de madeira e cúpula de tecido.,Casa e Decoração,Luminárias,Westwing,Marrom,20.0,40.0,20.0,0.8,79.90,S,-,-,2023-08-03 13:50:00,ativo
32,Kit de Toalhas 8 Peças,Kit de toalhas de banho e rosto com 8 peças.,Casa e Decoração,Banheiro,Santista,Bege,30.0,50.0,3.0,2.4,139.90,S,-,-,2023-08-03 16:05:00,ativo
33,Jogo de Lençol Queen,Lençol de cama queen size com fronhas e lençol de elástico.,Casa e Decoração,Cama e Enxoval,Buddemeyer,Verde,240.0,250.0,30.0,1.95,269.00,S,-,-,2023-08-03 18:30:00,ativo
34,Conjunto de Panelas Antiaderentes,Conjunto de panelas antiaderentes com 7 peças.,Casa e Decoração,Cozinha,Tramontina,Vermelho,34.0,40.0,34.0,5.5,349.90,S,6 meses,-,2023-08-03 20:45:00,ativo
35,Mesa de Jantar 6 Lugares,Mesa de jantar retangular com capacidade para 6 lugares.,Casa e Decoração,Móveis,Tok Stok,Marrom,150.0,75.0,90.0,35.0,999.00,S,-,-,2023-08-03 23:00:00,ativo
